Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,26.90,269,731,501348,0.3648,29.62,0.237440,5.325,0.0108,23.9,8317,-845,0,0.40,2.65,32.0,0,192653,74
2000,27.70,277,723,508891,0.3641,29.86,0.237067,4.804,0.0090,24.0,8527,-837,0,0.40,2.64,31.8,0,195654,149
3000,25.60,256,744,516054,0.3634,30.11,0.228470,5.246,0.0094,23.9,8743,-887,0,0.39,2.63,31.3,0,198504,225
4000,24.20,242,758,523772,0.3627,30.32,0.239007,4.917,0.0087,24.0,8952,-915,0,0.41,2.61,32.3,0,201570,301
5000,26.20,262,738,531615,0.3620,30.58,0.235067,4.702,0.0090,24.2,9202,-871,0,0.38,2.61,33.3,0,204689,380
6000,27.60,276,724,539002,0.3614,30.85,0.228863,4.522,0.0088,24.5,9446,-835,0,0.42,2.62,32.3,0,207627,458
7000,28.30,283,717,546545,0.3607,31.08,0.235454,4.677,0.0093,25.0,9675,-812,0,0.39,2.62,32.0,0,210627,537
8000,28.70,287,713,554074,0.3600,31.38,0.222541,4.339,0.0091,25.3,9952,-807,0,0.38,2.57,33.8,0,213623,618
9000,30.10,301,699,561338,0.3593,31.63,0.220135,4.061,0.0111,25.8,10191,-754,0,0.38,2.66,33.0,0,216512,698
10000,30.20,302,698,568027,0.3586,31.90,0.206840,4.012,0.0094,26.0,10442,-757,0,0.39,2.63,32.3,0,219172,776
