RELATÓRIO DE TREINAMENTO - 20260202_180349
========================================

Total de Estados Únicos: 7953
Taxa de Exploração (Epsilon): 0.04996
Estados Otimistas: 2425
Estados Pessimistas: 5528
Taxa de Confiança: 30.49%

TOP 10 ESTADOS:
        Q-Value            Ação                                                                                             Cenário
0  11826.886905  ATACAR (idx 0)        Ameaça: Alta | Dano: Ótimo\nHP: Cheio vs Cheio | Clima: Limpo\nSpeed: Lento | Placar: Empate
1  11374.559639  ATACAR (idx 0)  Ameaça: EXTREMA | Dano: Ótimo\nHP: Baixo vs Cheio | Clima: Limpo\nSpeed: Rápido | Placar: Vencendo
2   8341.842721  ATACAR (idx 0)      Ameaça: Alta | Dano: Ótimo\nHP: Cheio vs Baixo | Clima: Limpo\nSpeed: Lento | Placar: Vencendo
3   8013.694361  ATACAR (idx 0)        Ameaça: Alta | Dano: Bom\nHP: Médio vs Baixo | Clima: Limpo\nSpeed: Lento | Placar: Vencendo
4   7568.416221  ATACAR (idx 1)      Ameaça: Alta | Dano: Bom\nHP: Cheio vs Crítico | Clima: Limpo\nSpeed: Lento | Placar: Vencendo
5   7568.416221  ATACAR (idx 0)     Ameaça: Alta | Dano: Ótimo\nHP: Baixo vs Cheio | Clima: Limpo\nSpeed: Rápido | Placar: Vencendo
6   7342.406728  ATACAR (idx 0)  Ameaça: EXTREMA | Dano: Ótimo\nHP: Baixo vs Cheio | Clima: Limpo\nSpeed: Rápido | Placar: Vencendo
7   6999.115654  ATACAR (idx 0)  Ameaça: EXTREMA | Dano: Ótimo\nHP: Cheio vs Cheio | Clima: Limpo\nSpeed: Rápido | Placar: Vencendo
8   6999.115654  ATACAR (idx 2)  Ameaça: EXTREMA | Dano: Ótimo\nHP: Médio vs Cheio | Clima: Limpo\nSpeed: Rápido | Placar: Vencendo
9   6415.366569  ATACAR (idx 0)      Ameaça: Alta | Dano: Bom\nHP: Médio vs Crítico | Clima: Limpo\nSpeed: Lento | Placar: Vencendo
