Batalhas,WinRate_Bloco,Epsilon,Reward
500,59.0,0.01,693980.0
1000,60.4,0.01,1413430.0
1500,57.99999999999999,0.01,2087480.0
2000,58.4,0.01,2761770.0
2500,62.2,0.01,3537700.0
3000,59.4,0.01,4242960.0
3500,61.199999999999996,0.01,4988780.0
4000,61.4,0.01,5746940.0
4500,57.8,0.01,6411700.0
5000,59.199999999999996,0.01,7098820.0
5500,55.800000000000004,0.01,7714410.0
6000,58.599999999999994,0.01,8399350.0
6500,60.6,0.01,9151370.0
7000,60.6,0.01,9867840.0
7500,65.2,0.01,10699480.0
8000,61.6,0.01,11457460.0
8500,57.99999999999999,0.01,12140630.0
9000,58.4,0.01,12819300.0
9500,60.0,0.01,13534670.0
10000,63.4,0.01,14319750.0
10500,61.4,0.01,15071070.0
11000,61.199999999999996,0.01,15814670.0
11500,54.0,0.01,16393230.0
12000,58.199999999999996,0.01,17055680.0
12500,63.800000000000004,0.01,17861850.0
13000,60.4,0.01,18590250.0
13500,60.0,0.01,19306390.0
14000,56.39999999999999,0.01,19952030.0
14500,60.8,0.01,20686960.0
15000,64.0,0.01,21493410.0
15500,56.8,0.01,22132430.0
16000,60.4,0.01,22857000.0
16500,63.6,0.01,23655340.0
17000,57.99999999999999,0.01,24324240.0
17500,61.8,0.01,25087980.0
18000,59.0,0.01,25780200.0
18500,61.199999999999996,0.01,26519890.0
19000,62.0,0.01,27281030.0
19500,59.199999999999996,0.01,27980820.0
20000,60.199999999999996,0.01,28704350.0
