Batalhas,WinRate_Bloco,Epsilon,Reward
500,57.599999999999994,0.01,660250.0
1000,60.8,0.01,1384600.0
1500,54.800000000000004,0.01,1968910.0
2000,58.4,0.01,2640690.0
2500,55.800000000000004,0.01,3254060.0
3000,60.8,0.01,3973760.0
3500,59.4,0.01,4669400.0
4000,57.99999999999999,0.01,5334500.0
4500,61.0,0.01,6070150.0
5000,63.4,0.01,6875880.0
5500,60.8,0.01,7612340.0
6000,58.4,0.01,8287890.0
6500,60.6,0.01,9007850.0
7000,58.8,0.01,9689020.0
7500,61.6,0.01,10455020.0
8000,59.8,0.01,11173080.0
8500,55.2,0.01,11785490.0
9000,59.0,0.01,12469320.0
9500,59.0,0.01,13155540.0
10000,63.2,0.01,13937960.0
10500,56.2,0.01,14551840.0
11000,64.0,0.01,15365780.0
11500,58.8,0.01,16051530.0
12000,58.4,0.01,16720090.0
12500,57.199999999999996,0.01,17360140.0
13000,59.8,0.01,18065720.0
13500,57.8,0.01,18713060.0
14000,59.4,0.01,19403480.0
14500,59.599999999999994,0.01,20107300.0
15000,59.4,0.01,20805690.0
15500,56.8,0.01,21440870.0
16000,59.599999999999994,0.01,22152100.0
16500,57.599999999999994,0.01,22816910.0
17000,56.599999999999994,0.01,23449390.0
17500,61.0,0.01,24196540.0
18000,56.99999999999999,0.01,24828820.0
18500,59.0,0.01,25514890.0
19000,59.8,0.01,26221090.0
19500,60.199999999999996,0.01,26946450.0
20000,61.6,0.01,27703300.0
