Batalhas,WinRate_Bloco,Epsilon,Reward
500,42.0,0.1652058777610278,-319150.0
1000,42.6,0.06843062139323122,-615220.0
1500,43.0,0.05,-885710.0
2000,43.0,0.05,-1167540.0
2500,42.0,0.05,-1477470.0
3000,38.800000000000004,0.05,-1898760.0
3500,44.2,0.05,-2155630.0
4000,45.6,0.05,-2369580.0
4500,45.0,0.05,-2584270.0
5000,42.6,0.05,-2887420.0
5500,38.2,0.05,-3325430.0
6000,46.0,0.05,-3526700.0
6500,40.8,0.05,-3898030.0
7000,44.2,0.05,-4152180.0
7500,46.400000000000006,0.05,-4339420.0
8000,43.2,0.05,-4597460.0
8500,46.0,0.05,-4772920.0
9000,41.4,0.05,-5118780.0
9500,39.4,0.05,-5526840.0
10000,46.800000000000004,0.05,-5686860.0
