Batalhas,WinRate_Bloco,Epsilon,Reward
500,39.2,0.16478512893667902,-399780.0
1000,37.8,0.06676438564667274,-842580.0
1500,41.0,0.05,-1199140.0
2000,38.2,0.05,-1629860.0
2500,42.6,0.05,-1917760.0
3000,39.800000000000004,0.05,-2296000.0
3500,42.8,0.05,-2595100.0
4000,37.6,0.05,-3060800.0
4500,38.6,0.05,-3485640.0
5000,46.2,0.05,-3680180.0
5500,39.800000000000004,0.05,-4082190.0
6000,40.0,0.05,-4460330.0
6500,40.8,0.05,-4809390.0
7000,38.0,0.05,-5258730.0
7500,40.400000000000006,0.05,-5627730.0
8000,39.6,0.05,-6033300.0
8500,41.6,0.05,-6370120.0
9000,43.0,0.05,-6663480.0
9500,41.4,0.05,-7002520.0
10000,40.2,0.05,-7377540.0
