Batalhas,WinRate_Bloco,Epsilon,Reward
500,12.2,0.14593179262799502,-1147870.0
1000,14.2,0.054828759542094936,-2257260.0
1500,15.6,0.05,-3299970.0
2000,16.400000000000002,0.05,-4331600.0
2500,21.6,0.05,-5194820.0
3000,17.2,0.05,-6229000.0
3500,19.2,0.05,-7194730.0
4000,19.8,0.05,-8115280.0
4500,20.4,0.05,-9025140.0
5000,19.8,0.05,-9914750.0
5500,21.6,0.05,-10765480.0
6000,24.0,0.05,-11569430.0
6500,29.599999999999998,0.05,-12154860.0
7000,24.6,0.05,-12912760.0
7500,23.400000000000002,0.05,-13706860.0
8000,24.4,0.05,-14442670.0
8500,22.6,0.05,-15269560.0
9000,25.4,0.05,-15993250.0
9500,23.200000000000003,0.05,-16777830.0
10000,25.6,0.05,-17544460.0
