Batalhas,WinRate_Bloco,Epsilon,Reward
500,36.199999999999996,0.1675350846842629,-512260.0
1000,32.4,0.06583617368696977,-1111830.0
1500,33.4,0.05,-1689310.0
2000,32.2,0.05,-2309890.0
2500,34.599999999999994,0.05,-2862410.0
3000,33.6,0.05,-3422370.0
3500,37.2,0.05,-3888990.0
4000,38.0,0.05,-4313730.0
4500,35.0,0.05,-4841970.0
5000,35.0,0.05,-5388720.0
5500,34.2,0.05,-5970860.0
6000,35.4,0.05,-6495050.0
6500,36.0,0.05,-7004580.0
7000,32.800000000000004,0.05,-7591600.0
7500,35.6,0.05,-8135860.0
8000,34.8,0.05,-8683630.0
8500,36.4,0.05,-9194760.0
9000,36.0,0.05,-9703530.0
9500,36.0,0.05,-10230750.0
10000,35.8,0.05,-10756880.0
