Batalhas,WinRate_Bloco,Epsilon,Reward
500,35.8,0.16296608291187367,-535130.0
1000,30.8,0.06370216921296955,-1202810.0
1500,35.199999999999996,0.05,-1740720.0
2000,31.0,0.05,-2409270.0
2500,33.6,0.05,-2991750.0
3000,36.0,0.05,-3509000.0
3500,33.6,0.05,-4087910.0
4000,33.2,0.05,-4680750.0
4500,32.4,0.05,-5294980.0
5000,35.8,0.05,-5789780.0
5500,32.800000000000004,0.05,-6403850.0
6000,33.4,0.05,-7005740.0
6500,32.2,0.05,-7636150.0
7000,37.2,0.05,-8115640.0
7500,38.2,0.05,-8557360.0
8000,35.6,0.05,-9081740.0
8500,35.4,0.05,-9612520.0
9000,35.4,0.05,-10132800.0
9500,31.2,0.05,-10781350.0
10000,34.599999999999994,0.05,-11327070.0
