Batalhas,WinRate_Bloco,Epsilon,Reward
500,42.199999999999996,0.15880728968681634,-320090.0
1000,42.0,0.06626551339188785,-654560.0
1500,43.2,0.05,-938790.0
2000,44.6,0.05,-1189030.0
2500,43.6,0.05,-1457010.0
3000,42.6,0.05,-1755470.0
3500,41.8,0.05,-2085450.0
4000,42.6,0.05,-2373380.0
4500,42.0,0.05,-2690470.0
5000,44.0,0.05,-2954240.0
5500,44.0,0.05,-3206420.0
6000,37.4,0.05,-3670000.0
6500,41.6,0.05,-4015070.0
7000,41.6,0.05,-4319520.0
7500,45.0,0.05,-4544730.0
8000,39.0,0.05,-4965780.0
8500,45.6,0.05,-5180630.0
9000,43.2,0.05,-5448560.0
9500,45.0,0.05,-5689430.0
10000,44.4,0.05,-5940000.0
