Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,48.2,0.311,-19174,0,11.64,36.8,226444
1000,50.0,0.309,-17276,0,11.64,36.8,227844
1500,49.4,0.307,-5746,0,11.65,36.8,229424
2000,47.6,0.305,-39784,0,11.66,36.8,230826
2500,48.2,0.303,-67797,0,11.66,36.9,232167
3000,45.2,0.301,-139960,0,11.66,36.9,233535
3500,51.4,0.299,-104641,0,11.67,36.9,234939
4000,47.2,0.297,-144717,0,11.66,36.9,236436
4500,49.6,0.295,-142805,0,11.66,37.0,237879
5000,47.8,0.292,-164790,0,11.67,37.0,239177
5500,55.2,0.290,-58549,0,11.68,37.0,240440
6000,47.0,0.288,-109546,0,11.68,37.0,241779
6500,44.8,0.285,-197854,0,11.68,37.1,243072
7000,46.8,0.283,-244238,0,11.68,37.1,244381
7500,52.0,0.281,-190648,0,11.69,37.1,245612
8000,43.8,0.278,-300538,0,11.71,37.1,246987
8500,49.2,0.276,-302829,0,11.71,37.2,248379
9000,51.2,0.274,-270008,0,11.72,37.2,249789
9500,49.4,0.272,-274607,0,11.72,37.2,251124
10000,45.0,0.270,-360522,0,11.72,37.2,252500
