Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,49.4,0.379,-84,0,12.81,37.7,153933
1000,51.2,0.378,28933,0,12.73,37.6,156327
1500,53.6,0.377,100962,0,12.65,37.4,158620
2000,49.2,0.375,91293,0,12.59,37.4,160809
2500,50.6,0.374,105130,0,12.51,37.2,163138
3000,51.8,0.373,137877,0,12.44,37.2,165449
3500,48.8,0.371,130980,0,12.38,37.1,167598
4000,46.4,0.370,74564,0,12.33,37.1,169860
4500,48.4,0.369,46995,0,12.29,37.0,172041
5000,44.6,0.367,-49410,0,12.24,37.0,173933
5500,50.8,0.366,-36483,0,12.20,36.9,175906
6000,46.6,0.364,-95608,0,12.15,36.9,177869
6500,49.4,0.363,-94591,0,12.11,36.8,179914
7000,51.4,0.361,-58743,0,12.06,36.8,181951
7500,50.2,0.359,-41062,0,12.02,36.8,183745
8000,50.0,0.358,-41526,0,11.99,36.7,185545
8500,48.6,0.356,-53854,0,11.95,36.7,187494
9000,52.6,0.355,-2679,0,11.91,36.7,189453
9500,46.0,0.353,-69425,0,11.88,36.6,191322
10000,49.2,0.351,-77555,0,11.85,36.6,193162
