Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,45.4,0.103,-54936,0,15.26,41.7,376299
1000,53.0,0.098,15405,0,15.28,41.7,376886
1500,51.6,0.093,66802,0,15.31,41.7,377491
2000,47.6,0.088,41530,0,15.33,41.7,378065
2500,48.8,0.083,44689,0,15.35,41.8,378706
3000,52.2,0.079,104486,0,15.37,41.8,379378
3500,50.6,0.074,139744,0,15.39,41.8,379984
4000,52.0,0.068,195470,0,15.41,41.8,380458
4500,50.2,0.062,209498,0,15.44,41.9,380946
5000,51.2,0.056,250787,0,15.46,41.9,381464
5500,48.8,0.050,262292,0,15.48,41.9,381919
6000,48.2,0.045,254689,0,15.50,41.9,382513
6500,45.4,0.040,192512,0,15.53,41.9,383085
7000,46.4,0.034,138487,0,15.55,41.9,383568
7500,52.8,0.030,217918,0,15.58,42.0,384044
8000,50.0,0.030,260134,0,15.60,42.0,384578
8500,48.6,0.030,272378,0,15.63,42.0,385093
9000,47.8,0.030,264268,0,15.65,42.0,385613
9500,52.2,0.130,334461,0,15.68,42.0,386106
10000,50.0,0.126,359727,0,15.69,42.1,386790
