Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,68.8,0.050,354475,0,14.27,47.5,76851
1000,66.8,0.050,671185,0,14.39,47.6,77157
1500,68.8,0.050,1025615,0,14.51,47.6,77467
2000,68.6,0.050,1375988,0,14.62,47.7,77744
2500,68.6,0.050,1723757,0,14.73,47.7,78069
3000,66.2,0.050,2030044,0,14.84,47.8,78390
3500,66.6,0.050,2349207,0,14.95,47.9,78696
4000,67.0,0.050,2675049,0,15.05,47.9,79026
4500,65.8,0.050,2976708,0,15.17,48.0,79283
5000,61.4,0.050,3195849,0,15.29,48.1,79563
5500,66.8,0.050,3513943,0,15.41,48.2,79823
6000,65.2,0.050,3805956,0,15.52,48.2,80095
6500,72.0,0.050,4220100,0,15.63,48.3,80388
7000,65.2,0.050,4515642,0,15.74,48.4,80647
7500,67.6,0.050,4842857,0,15.84,48.4,80950
8000,63.8,0.050,5105301,0,15.96,48.5,81215
8500,66.8,0.050,5421278,0,16.07,48.5,81500
9000,68.2,0.050,5763229,0,16.17,48.6,81806
9500,64.2,0.050,6035601,0,16.28,48.6,82121
10000,66.8,0.050,6351626,0,16.39,48.7,82379
