Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,48.2,0.078,-22315,0,12.82,39.1,312168
1000,50.6,0.074,786,0,12.84,39.2,312892
1500,49.0,0.070,-16366,0,12.87,39.2,313567
2000,48.4,0.066,-38974,0,12.89,39.2,314372
2500,51.0,0.061,-2155,0,12.93,39.3,315023
3000,49.6,0.057,-1995,0,12.95,39.3,315716
3500,45.4,0.052,-63656,0,12.98,39.3,316361
4000,47.6,0.048,-90031,0,13.01,39.4,317031
4500,45.8,0.044,-162263,0,13.03,39.4,317799
5000,49.6,0.039,-154223,0,13.07,39.4,318448
5500,50.4,0.036,-129923,0,13.08,39.5,319253
6000,51.6,0.031,-86761,0,13.11,39.5,319941
6500,50.6,0.030,-49047,0,13.14,39.5,320640
7000,48.8,0.030,-45126,0,13.17,39.5,321389
7500,51.4,0.030,892,0,13.20,39.6,322008
8000,50.8,0.030,37691,0,13.22,39.6,322728
8500,49.0,0.130,49109,0,13.25,39.6,323492
9000,50.6,0.126,78614,0,13.27,39.7,324196
9500,49.0,0.122,89569,0,13.29,39.7,324910
10000,52.2,0.117,154043,0,13.32,39.8,325610
