Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,48.6,0.043,2890,0,16.63,42.9,407514
1000,49.8,0.037,13423,0,16.65,42.9,407991
1500,52.4,0.031,72984,0,16.68,43.0,408395
2000,49.0,0.030,74839,0,16.70,43.0,408875
2500,48.4,0.030,73886,0,16.73,43.0,409312
3000,49.8,0.030,88772,0,16.76,43.0,409721
3500,44.6,0.030,20634,0,16.79,43.0,410162
4000,48.8,0.130,27320,0,16.81,43.0,410619
4500,51.2,0.124,62763,0,16.83,43.1,411097
5000,51.0,0.119,100052,0,16.85,43.1,411644
5500,51.6,0.113,145640,0,16.87,43.1,412096
6000,52.6,0.107,208762,0,16.90,43.1,412563
6500,44.2,0.101,134603,0,16.92,43.1,412964
7000,46.6,0.095,92508,0,16.94,43.1,413422
7500,49.2,0.089,82613,0,16.97,43.2,413875
8000,48.2,0.083,67373,0,16.99,43.2,414341
8500,46.8,0.077,31075,0,17.01,43.2,414807
9000,43.2,0.071,-53228,0,17.04,43.2,415289
9500,46.4,0.065,-108048,0,17.06,43.2,415793
10000,45.2,0.059,-181034,0,17.09,43.2,416290
