Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,46.2,0.059,-54825,0,17.58,43.6,426178
1000,46.6,0.054,-97513,0,17.60,43.6,426696
1500,44.2,0.048,-187523,0,17.63,43.6,427152
2000,47.0,0.042,-232863,0,17.65,43.6,427588
2500,44.8,0.036,-311125,0,17.67,43.7,428067
3000,48.0,0.030,-326272,0,17.69,43.7,428510
3500,47.4,0.030,-332064,0,17.72,43.7,429000
4000,45.0,0.030,-394088,0,17.74,43.7,429443
4500,47.0,0.030,-421422,0,17.76,43.7,429859
5000,47.8,0.130,-437790,0,17.79,43.7,430222
5500,41.6,0.124,-574064,0,17.81,43.8,430741
6000,46.4,0.118,-623689,0,17.84,43.8,431252
6500,49.2,0.112,-629046,0,17.86,43.8,431658
7000,49.0,0.107,-621695,0,17.88,43.8,432199
7500,48.6,0.101,-626920,0,17.91,43.8,432666
8000,45.6,0.095,-679810,0,17.93,43.8,433126
8500,46.0,0.089,-725816,0,17.95,43.8,433586
9000,47.4,0.083,-759584,0,17.97,43.9,433991
9500,47.0,0.077,-793905,0,17.99,43.9,434432
10000,50.6,0.071,-777453,0,18.02,43.9,434854
