Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,38.00,380,620,1047925,0.2820,50.55,0.122066,1.105,0.0153,84.7,36930,-528,0,0.41,2.72,30.3,0,410346,75
2000,36.00,360,640,1051601,0.2813,50.65,0.119242,0.730,0.0121,84.6,37172,-574,0,0.43,2.72,30.8,0,411813,153
3000,38.60,386,614,1055478,0.2806,50.75,0.120884,0.981,0.0112,84.1,37435,-513,0,0.41,2.73,32.0,0,413364,234
4000,38.00,380,620,1059191,0.2799,50.85,0.117944,1.020,0.0108,83.7,37707,-522,0,0.41,2.68,31.4,0,414845,313
5000,39.40,394,606,1063072,0.2792,50.95,0.121069,0.972,0.0103,83.8,37966,-496,0,0.41,2.71,32.0,0,416391,394
6000,36.50,365,635,1066757,0.2786,51.05,0.114196,0.691,0.0103,83.4,38225,-574,0,0.45,2.73,32.2,0,417862,479
7000,39.70,397,603,1070376,0.2779,51.16,0.112029,0.954,0.0104,83.0,38494,-488,0,0.40,2.79,32.2,0,419304,561
8000,40.40,404,596,1074085,0.2772,51.25,0.117225,0.731,0.0104,82.8,38724,-464,0,0.41,2.72,31.6,0,420779,643
9000,41.00,410,590,1077589,0.2765,51.34,0.112373,0.941,0.0106,82.7,38945,-452,0,0.41,2.81,31.1,0,422175,722
10000,37.50,375,625,1081279,0.2758,51.43,0.115707,1.123,0.0102,82.6,39194,-542,0,0.40,2.65,31.8,0,423647,805
