Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,17.20,172,828,20059,0.3993,0.98,-1.000000,-1.000,-1.0000,2.0,10,-1119,0,0.40,2.52,27.6,0,7011,63
2000,19.80,198,802,36997,0.3986,2.35,0.609675,32.162,0.0182,3.1,46,-1046,0,0.40,2.57,27.7,0,12930,126
3000,20.50,205,795,52326,0.3979,4.18,0.551681,43.106,0.0361,5.3,117,-1017,0,0.41,2.52,27.7,0,18291,191
4000,21.60,216,784,66446,0.3972,6.01,0.504682,31.155,0.0222,7.5,213,-985,0,0.40,2.57,27.9,0,23232,256
5000,20.80,208,792,79826,0.3965,7.21,0.485610,29.142,0.0186,7.9,298,-1012,0,0.42,2.51,27.5,0,27916,319
6000,23.10,231,769,92803,0.3959,8.58,0.467185,28.035,0.0173,9.0,412,-953,0,0.40,2.54,27.7,0,32466,383
7000,23.40,234,766,105384,0.3952,9.67,0.448616,29.342,0.0192,9.0,522,-938,0,0.40,2.56,28.0,0,36872,447
8000,23.60,236,764,117393,0.3945,10.70,0.426714,20.817,0.0157,9.5,641,-938,0,0.44,2.58,28.1,0,41072,514
9000,21.50,215,785,129374,0.3938,11.66,0.413352,18.444,0.0133,9.3,766,-988,0,0.45,2.51,29.0,0,45262,581
10000,24.10,241,759,140649,0.3931,12.45,0.401217,19.268,0.0145,10.7,889,-914,0,0.40,2.52,28.1,0,49204,647
