Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,60.30,603,397,1148363,0.2613,53.40,0.089245,1.413,0.0162,88.4,44086,75,0,0.42,2.94,29.2,0,450387,74
2000,62.80,628,372,1150941,0.2606,53.50,0.086304,0.779,0.0102,88.9,44321,131,0,0.44,2.89,29.8,0,451413,151
3000,59.80,598,402,1153544,0.2599,53.60,0.088067,0.709,0.0098,89.3,44561,53,0,0.45,2.83,29.5,0,452453,229
4000,59.20,592,408,1156123,0.2592,53.69,0.087635,0.798,0.0096,89.9,44779,34,0,0.42,2.88,29.4,0,453482,306
5000,60.00,600,400,1158559,0.2585,53.78,0.083697,0.797,0.0104,90.5,44986,71,0,0.42,2.97,29.1,0,454454,382
6000,61.90,619,381,1161027,0.2579,53.87,0.083644,0.827,0.0097,90.9,45205,113,0,0.47,2.90,29.5,0,455439,459
7000,64.60,646,354,1163601,0.2572,53.96,0.086139,0.702,0.0100,91.5,45421,181,0,0.42,2.92,29.9,0,456464,537
8000,62.50,625,375,1165928,0.2565,54.06,0.079368,0.752,0.0101,92.0,45641,130,0,0.48,2.92,29.3,0,457392,615
9000,60.70,607,393,1168491,0.2558,54.15,0.084345,0.828,0.0100,92.5,45858,90,0,0.42,2.88,30.4,0,458416,695
10000,62.00,620,380,1170902,0.2551,54.24,0.081304,0.707,0.0099,92.7,46088,115,0,0.42,2.88,29.6,0,459379,772
