Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,62.50,625,375,1731615,0.0500,68.58,0.049304,1.021,0.0133,119.2,103785,135,0,0.42,3.01,32.0,0,683361,83
2000,67.00,670,330,1733276,0.0500,68.61,0.051442,0.180,0.0033,119.2,103967,245,0,0.41,2.98,32.2,0,684025,170
3000,62.40,624,376,1734871,0.0500,68.65,0.049306,0.252,0.0036,119.1,104155,124,0,0.42,2.93,32.3,0,684664,256
4000,61.70,617,383,1736467,0.0500,68.68,0.051389,0.405,0.0035,119.0,104365,108,0,0.42,2.92,31.0,0,685303,342
5000,65.00,650,350,1738128,0.0500,68.71,0.052164,0.281,0.0034,118.9,104587,195,0,0.41,2.93,31.8,0,685967,428
6000,64.90,649,351,1739611,0.0500,68.75,0.047636,0.289,0.0034,118.8,104789,191,0,0.42,2.94,31.1,0,686561,516
7000,64.40,644,356,1741390,0.0500,68.78,0.055033,0.145,0.0032,118.8,104998,176,0,0.41,2.96,32.3,0,687273,604
8000,64.30,643,357,1743049,0.0500,68.81,0.052334,0.235,0.0031,118.7,105201,179,0,0.42,2.91,31.7,0,687937,689
9000,64.20,642,358,1744731,0.0500,68.84,0.055059,0.187,0.0032,118.7,105382,175,0,0.42,2.96,30.5,0,688610,774
10000,62.30,623,377,1746517,0.0500,68.87,0.056270,0.281,0.0032,118.6,105587,128,0,0.42,2.93,31.7,0,689326,862
