Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,60.20,602,398,1353364,0.2061,59.44,0.061157,0.762,0.0146,107.3,62017,75,0,0.44,2.88,30.2,0,532210,77
2000,60.40,604,396,1355222,0.2053,59.50,0.063232,0.724,0.0075,107.6,62223,81,0,0.44,2.87,29.3,0,532948,156
3000,61.40,614,386,1356991,0.2045,59.57,0.059612,0.890,0.0078,107.8,62434,108,0,0.42,2.96,29.6,0,533653,234
4000,59.80,598,402,1358842,0.2038,59.64,0.060388,0.566,0.0078,108.0,62643,69,0,0.42,2.90,30.6,0,534391,314
5000,61.00,610,390,1360743,0.2031,59.71,0.062492,0.615,0.0073,108.3,62864,93,0,0.42,2.84,30.4,0,535151,397
6000,64.00,640,360,1362539,0.2023,59.78,0.060776,0.395,0.0074,108.6,63072,172,0,0.42,2.99,29.5,0,535869,476
7000,59.50,595,405,1364686,0.2016,59.84,0.071476,0.513,0.0069,108.7,63266,47,0,0.42,2.84,30.0,0,536724,555
8000,60.00,600,400,1366544,0.2009,59.90,0.062064,0.422,0.0076,108.9,63469,67,0,0.43,2.89,29.9,0,537464,636
9000,59.40,594,406,1368480,0.2001,59.97,0.064912,0.415,0.0078,109.0,63679,58,0,0.43,2.87,29.8,0,538237,715
10000,65.40,654,346,1370270,0.1994,60.04,0.061718,0.647,0.0076,109.4,63893,206,0,0.42,2.93,29.0,0,538955,795
