Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,40.20,402,598,726031,0.3372,39.26,0.172445,2.433,0.0164,52.3,17650,-478,0,0.40,2.67,31.5,0,282059,74
2000,40.30,403,597,731599,0.3365,39.43,0.173097,2.386,0.0144,52.5,17908,-475,0,0.39,2.67,32.1,0,284282,152
3000,40.80,408,592,737024,0.3358,39.64,0.162182,2.316,0.0136,52.3,18188,-461,0,0.38,2.58,33.4,0,286449,233
4000,42.50,425,575,742463,0.3351,39.82,0.168924,2.325,0.0135,52.2,18444,-418,0,0.40,2.77,32.2,0,288619,311
5000,39.80,398,602,747745,0.3344,39.98,0.165783,2.292,0.0143,52.2,18685,-486,0,0.40,2.58,31.8,0,290724,389
6000,41.70,417,583,752833,0.3338,40.14,0.164304,2.235,0.0134,52.5,18893,-444,0,0.40,2.68,30.9,0,292750,468
7000,44.90,449,551,757859,0.3331,40.32,0.160945,2.587,0.0138,52.9,19133,-357,0,0.40,2.73,31.2,0,294751,544
8000,39.90,399,601,763179,0.3324,40.48,0.167845,2.354,0.0128,53.1,19371,-486,0,0.39,2.67,31.7,0,296870,623
9000,39.10,391,609,768420,0.3317,40.64,0.162507,1.952,0.0126,53.1,19618,-511,0,0.39,2.63,32.2,0,298958,702
10000,44.40,444,556,773608,0.3310,40.81,0.160739,2.362,0.0133,53.1,19888,-371,0,0.39,2.70,32.2,0,301026,783
