Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,40.60,406,594,778462,0.3303,40.97,0.158157,2.325,0.0165,53.2,20114,-461,0,0.41,2.64,30.7,0,302958,73
2000,40.50,405,595,782987,0.3296,41.14,0.153177,2.232,0.0127,53.2,20342,-460,0,0.41,2.62,29.5,0,304759,147
3000,42.40,424,576,787375,0.3289,41.31,0.152213,2.114,0.0133,53.0,20565,-406,0,0.41,2.74,28.8,0,306505,220
4000,44.50,445,555,791842,0.3282,41.48,0.151372,2.200,0.0131,53.1,20809,-358,0,0.41,2.76,29.5,0,308286,294
5000,41.90,419,581,796162,0.3275,41.65,0.146267,2.001,0.0129,53.6,21045,-419,0,0.41,2.71,29.5,0,310006,368
6000,43.30,433,567,800437,0.3269,41.83,0.145646,1.854,0.0118,54.0,21288,-385,0,0.46,2.70,29.3,0,311708,442
7000,45.00,450,550,804863,0.3262,41.98,0.149335,2.035,0.0129,54.6,21513,-340,0,0.47,2.75,29.6,0,313469,518
8000,44.50,445,555,809494,0.3255,42.16,0.153081,1.973,0.0128,55.0,21760,-364,0,0.42,2.64,30.2,0,315311,593
9000,42.30,423,577,813769,0.3248,42.31,0.144592,2.097,0.0128,55.4,21993,-406,0,0.41,2.62,29.5,0,317013,669
10000,43.70,437,563,818077,0.3241,42.50,0.142687,2.209,0.0134,56.1,22251,-386,0,0.41,2.65,30.1,0,318730,744
