Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,53.40,534,466,1701691,0.0676,67.87,0.054846,0.927,0.0116,117.8,99729,-110,0,0.41,2.90,31.9,0,671397,82
2000,55.70,557,443,1703361,0.0667,67.90,0.051994,0.474,0.0036,117.8,99939,-50,0,0.41,2.97,32.1,0,672065,167
3000,52.00,520,480,1705220,0.0660,67.94,0.056829,0.302,0.0039,117.7,100152,-142,0,0.43,2.90,32.7,1,672808,254
4000,56.40,564,436,1706760,0.0651,67.97,0.049151,0.223,0.0036,117.6,100339,-25,0,0.40,2.97,31.3,1,673423,338
5000,53.40,534,466,1708405,0.0643,68.01,0.049936,0.438,0.0039,117.5,100535,-92,0,0.45,2.90,32.9,1,674081,425
6000,52.70,527,473,1710234,0.0635,68.04,0.054506,0.367,0.0036,117.3,100766,-127,0,0.40,2.80,33.5,0,674813,516
7000,50.90,509,491,1712031,0.0627,68.08,0.056286,0.416,0.0036,117.2,100992,-171,0,0.40,2.90,31.9,0,675532,600
8000,53.70,537,463,1713662,0.0619,68.12,0.052811,0.425,0.0036,117.1,101208,-98,0,0.41,2.99,30.9,0,676185,686
9000,55.50,555,445,1715382,0.0611,68.15,0.054577,0.554,0.0035,117.1,101414,-52,0,0.41,2.94,31.5,0,676873,770
10000,57.40,574,426,1716950,0.0602,68.19,0.047955,0.510,0.0034,117.0,101625,-9,0,0.47,2.89,32.7,1,677499,858
