Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,51.80,518,482,944897,0.3027,47.00,0.118781,1.566,0.0158,75.8,29868,-167,0,0.42,2.69,29.9,0,369272,71
2000,52.70,527,473,948759,0.3020,47.14,0.127526,1.354,0.0126,76.4,30115,-142,0,0.40,2.71,30.3,0,370814,146
3000,51.80,518,482,952442,0.3013,47.27,0.125507,1.109,0.0130,76.4,30356,-164,0,0.41,2.71,29.3,0,372282,221
4000,53.30,533,467,956321,0.3006,47.40,0.132956,1.241,0.0125,76.8,30605,-131,0,0.42,2.68,29.1,0,373827,297
5000,54.40,544,456,959860,0.2999,47.53,0.119529,0.978,0.0124,77.2,30834,-100,0,0.41,2.70,29.6,0,375239,372
6000,52.30,523,477,963405,0.2993,47.68,0.118487,1.069,0.0132,77.6,31128,-151,0,0.41,2.67,29.9,0,376653,448
7000,51.90,519,481,966859,0.2986,47.82,0.116721,1.194,0.0123,77.9,31372,-174,0,0.41,2.68,29.6,0,378034,523
8000,54.10,541,459,970357,0.2979,47.93,0.118292,1.052,0.0118,78.5,31579,-112,0,0.41,2.71,29.5,0,379429,599
9000,55.20,552,448,973983,0.2972,48.04,0.123070,1.087,0.0122,78.8,31789,-80,0,0.41,2.74,29.4,0,380872,674
10000,53.10,531,469,977523,0.2965,48.16,0.117153,1.072,0.0114,79.1,32011,-139,0,0.48,2.73,30.2,0,382281,753
