Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,37.20,372,628,153244,0.3924,12.98,0.440477,16.210,0.0162,11.5,992,-581,0,0.42,2.51,28.5,0,54214,68
2000,36.50,365,635,165420,0.3917,13.74,0.429564,16.661,0.0151,12.2,1135,-599,0,0.42,2.48,28.3,0,59056,135
3000,39.50,395,605,177052,0.3910,14.30,0.415726,13.317,0.0159,13.7,1264,-513,0,0.42,2.44,27.9,0,63682,201
4000,40.30,403,597,188373,0.3903,14.86,0.399612,13.257,0.0169,15.0,1387,-489,0,0.42,2.58,28.3,0,68189,268
5000,38.10,381,619,199678,0.3896,15.35,0.399752,12.801,0.0161,15.1,1515,-553,0,0.42,2.46,28.2,0,72684,336
6000,41.50,415,585,210535,0.3890,15.78,0.384155,12.793,0.0180,16.0,1631,-460,0,0.46,2.50,28.2,0,77000,404
7000,40.70,407,593,220903,0.3883,16.33,0.361645,10.869,0.0161,16.3,1777,-488,0,0.42,2.52,28.6,0,81125,472
8000,38.50,385,615,231446,0.3876,16.92,0.349523,11.306,0.0158,16.5,1930,-545,0,0.42,2.44,30.1,0,85314,542
9000,39.10,391,609,241738,0.3869,17.42,0.357970,9.631,0.0177,17.8,2093,-527,0,0.42,2.47,28.7,0,89402,613
10000,41.40,414,586,251801,0.3862,17.90,0.346570,11.053,0.0136,17.7,2243,-471,0,0.42,2.42,29.0,0,93401,683
