Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,47.40,474,526,1397685,0.1918,60.65,0.074653,1.018,0.0136,108.9,66303,-271,0,0.42,2.85,31.2,0,549908,78
2000,45.70,457,543,1400129,0.1911,60.70,0.075154,0.833,0.0072,108.8,66532,-323,0,0.42,2.81,32.5,0,550883,161
3000,46.00,460,540,1402586,0.1904,60.76,0.076757,0.509,0.0070,108.6,66776,-305,0,0.43,2.85,31.9,0,551864,244
4000,47.20,472,528,1405019,0.1897,60.82,0.078393,0.601,0.0072,108.6,67003,-270,0,0.41,2.84,31.0,0,552837,324
5000,47.10,471,529,1407313,0.1890,60.87,0.075408,0.361,0.0072,108.4,67230,-276,0,0.41,2.81,30.4,0,553753,404
6000,48.40,484,516,1409782,0.1883,60.93,0.078279,0.473,0.0070,108.5,67482,-245,0,0.40,2.87,31.5,0,554737,487
7000,44.90,449,551,1412057,0.1876,60.99,0.073981,0.463,0.0066,108.4,67695,-330,0,0.41,2.81,30.7,0,555647,569
8000,49.00,490,510,1414334,0.1870,61.03,0.073263,0.641,0.0067,108.5,67886,-219,0,0.41,2.86,31.0,0,556557,651
9000,44.80,448,552,1416792,0.1863,61.09,0.076707,0.508,0.0067,108.4,68112,-326,0,0.40,2.80,32.0,1,557539,733
10000,46.90,469,531,1419090,0.1856,61.14,0.072244,0.692,0.0070,108.2,68319,-282,0,0.41,2.86,31.8,0,558456,817
