RELATÓRIO DE TREINAMENTO - 20260202_233647
========================================

Total de Estados Únicos: 7650
Taxa de Exploração (Epsilon): 0.04996
Estados Otimistas: 2760
Estados Pessimistas: 4890
Taxa de Confiança: 36.08%

TOP 10 ESTADOS:
       Q-Value            Ação                                                                                             Cenário
0  7342.406728  ATACAR (idx 0)   Ameaça: EXTREMA | Dano: Ótimo\nHP: Cheio vs Cheio | Clima: Limpo\nSpeed: Lento | Placar: Vencendo
1  7114.120076  ATACAR (idx 0)      Ameaça: Neutra | Dano: Ótimo\nHP: Cheio vs Cheio | Clima: Limpo\nSpeed: Lento | Placar: Empate
2  6650.623288  ATACAR (idx 0)  Ameaça: EXTREMA | Dano: Ótimo\nHP: Cheio vs Cheio | Clima: Limpo\nSpeed: Rápido | Placar: Vencendo
3  6058.029670  ATACAR (idx 0)   Ameaça: EXTREMA | Dano: Ótimo\nHP: Médio vs Baixo | Clima: Limpo\nSpeed: Lento | Placar: Vencendo
4  5937.718261  ATACAR (idx 2)  Ameaça: EXTREMA | Dano: Ótimo\nHP: Baixo vs Baixo | Clima: Limpo\nSpeed: Rápido | Placar: Vencendo
5  5816.802272  ATACAR (idx 1)      Ameaça: Alta | Dano: Ótimo\nHP: Médio vs Cheio | Clima: Limpo\nSpeed: Lento | Placar: Vencendo
6  5695.278666  ATACAR (idx 0)      Ameaça: Alta | Dano: Ótimo\nHP: Cheio vs Cheio | Clima: Limpo\nSpeed: Lento | Placar: Vencendo
7  5090.336183  ATACAR (idx 0)     Ameaça: Alta | Dano: Ótimo\nHP: Baixo vs Baixo | Clima: Limpo\nSpeed: Rápido | Placar: Vencendo
8  5078.438956  ATACAR (idx 1)      Ameaça: Alta | Dano: Ótimo\nHP: Cheio vs Baixo | Clima: Limpo\nSpeed: Lento | Placar: Vencendo
9  4965.161993  ATACAR (idx 0)     Ameaça: Alta | Dano: Ótimo\nHP: Cheio vs Baixo | Clima: Limpo\nSpeed: Rápido | Placar: Vencendo
