Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,73.70,737,263,364932,0.0500,26.92,53.18,256,0,0.19,3.15,34.2,1,139566,58
2000,72.10,721,279,365394,0.0500,26.99,53.21,202,0,0.19,3.07,33.2,0,139748,116
3000,73.60,736,264,365808,0.0500,27.07,53.25,239,0,0.20,3.11,34.4,0,139911,175
4000,72.30,723,277,366188,0.0500,27.16,53.27,203,0,0.20,3.07,35.9,2,140061,238
5000,73.50,735,265,366585,0.0500,27.26,53.30,249,0,0.18,3.14,37.7,1,140216,303
6000,74.00,740,260,367041,0.0500,27.33,53.32,263,0,0.18,3.12,35.1,1,140395,362
7000,74.80,748,252,367482,0.0500,27.41,53.35,262,0,0.22,3.04,36.7,1,140568,425
8000,73.00,730,270,367931,0.0500,27.49,53.37,224,0,0.18,3.14,35.3,0,140746,485
9000,73.30,733,267,368326,0.0500,27.57,53.40,237,0,0.18,3.14,36.3,0,140900,549
10000,71.20,712,288,368748,0.0500,27.65,53.42,180,1,0.18,3.09,35.6,1,141067,610
