Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,69.40,694,306,382260,0.0500,30.10,54.16,126,0,0.18,3.05,38.3,0,146385,63
2000,70.70,707,293,382745,0.0500,30.18,54.17,150,0,0.20,3.00,37.5,1,146574,126
3000,69.00,690,310,383254,0.0500,30.25,54.18,115,0,0.18,3.04,36.1,1,146773,188
4000,72.50,725,275,383673,0.0500,30.33,54.20,228,0,0.18,3.21,35.6,0,146938,252
5000,68.60,686,314,384112,0.0500,30.40,54.23,96,0,0.18,3.07,35.9,0,147112,313
6000,69.50,695,305,384605,0.0500,30.47,54.24,115,0,0.22,3.02,36.6,2,147305,375
7000,72.40,724,276,384996,0.0500,30.54,54.27,197,0,0.18,3.10,34.4,0,147459,436
8000,70.40,704,296,385431,0.0500,30.62,54.28,144,0,0.18,3.06,37.9,0,147629,499
9000,73.00,730,270,385867,0.0500,30.69,54.30,226,0,0.18,3.15,35.7,1,147799,563
10000,72.10,721,279,386360,0.0500,30.77,54.31,210,0,0.18,3.11,38.3,2,147994,627
