Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,42.20,422,578,332611,0.2170,8.03,41.86,-1343,0,0.34,2.76,39.1,2,125056,88
2000,45.00,450,550,335336,0.2140,8.10,41.99,-1068,0,0.34,2.72,40.9,1,126125,179
3000,44.90,449,551,337797,0.2110,8.19,42.13,-1046,0,0.33,2.72,43.1,4,127091,274
4000,43.50,435,565,340260,0.2080,8.26,42.25,-1220,0,0.34,2.73,37.8,0,128058,365
5000,46.00,460,540,342817,0.2050,8.34,42.37,-955,0,0.34,2.65,42.5,4,129062,456
6000,43.50,435,565,345241,0.2020,8.42,42.49,-1202,0,0.34,2.77,41.9,3,130013,554
7000,43.80,438,562,347431,0.1990,8.50,42.61,-1174,0,0.34,2.70,40.7,2,130872,646
8000,43.90,439,561,349804,0.1960,8.57,42.73,-1174,0,0.34,2.66,39.4,0,131803,737
9000,45.70,457,543,352050,0.1930,8.64,42.84,-981,0,0.34,2.68,39.0,1,132685,837
10000,45.00,450,550,354353,0.1900,8.72,42.94,-1054,0,0.34,2.76,39.8,1,133588,958
