Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,33.50,335,665,267950,0.2770,6.55,38.84,-2324,0,0.36,2.63,40.8,3,99677,90
2000,37.60,376,624,271742,0.2740,6.62,39.03,-1854,0,0.40,2.75,40.2,3,101165,202
3000,39.80,398,602,275495,0.2710,6.70,39.25,-1626,0,0.52,2.68,40.0,1,102638,319
4000,38.00,380,620,279341,0.2680,6.77,39.42,-1831,0,0.39,2.70,39.7,0,104147,428
5000,40.50,405,595,282903,0.2650,6.85,39.58,-1572,0,0.33,2.65,38.8,0,105545,513
6000,36.10,361,639,286371,0.2620,6.92,39.75,-2030,0,0.32,2.62,39.4,1,106905,605
7000,37.40,374,626,289843,0.2590,7.00,39.92,-1899,0,0.33,2.64,40.6,1,108268,696
8000,38.00,380,620,293069,0.2560,7.08,40.10,-1822,0,0.38,2.73,38.5,0,109533,804
9000,39.70,397,603,296170,0.2530,7.16,40.26,-1645,0,0.33,2.70,41.4,3,110750,919
10000,37.80,378,622,299224,0.2500,7.24,40.43,-1849,0,0.33,2.68,38.9,1,111948,1052
