Batalhas,WinRate_Bloco,Epsilon,Reward
500,45.800000000000004,0.29984979479914753,-323750.0
1000,46.800000000000004,0.22165866283591087,-618650.0
1500,47.8,0.16416559453777507,-878830.0
2000,44.2,0.12199897859773161,-1232660.0
2500,45.800000000000004,0.09015312806621341,-1555680.0
3000,46.0,0.06677619440652623,-1868380.0
3500,48.8,0.05,-2090910.0
4000,46.2,0.05,-2403600.0
4500,50.8,0.05,-2576780.0
5000,49.6,0.05,-2783280.0
5500,48.6,0.05,-3021450.0
6000,50.8,0.05,-3204590.0
6500,48.8,0.05,-3436860.0
7000,52.400000000000006,0.05,-3560170.0
7500,51.2,0.05,-3722080.0
8000,50.8,0.05,-3903320.0
8500,47.8,0.05,-4164930.0
9000,50.8,0.05,-4340970.0
9500,50.8,0.05,-4515740.0
10000,54.0,0.05,-4594610.0
