Batalhas,WinRate_Bloco,Epsilon,Reward
500,46.0,0.29890375551646275,-338550.0
1000,48.0,0.22098583698607072,-597360.0
1500,50.0,0.1656961573881631,-799880.0
2000,50.6,0.12315611361123578,-992970.0
2500,48.6,0.09163284802679424,-1219150.0
3000,53.2,0.06747024927711812,-1322630.0
3500,49.4,0.05020144408057208,-1540350.0
4000,47.4,0.05,-1813510.0
4500,47.0,0.05,-2087010.0
5000,47.8,0.05,-2356490.0
5500,47.8,0.05,-2628480.0
6000,51.800000000000004,0.05,-2766560.0
6500,50.4,0.05,-2953020.0
7000,52.2,0.05,-3076600.0
7500,50.8,0.05,-3244690.0
8000,46.0,0.05,-3554360.0
8500,48.199999999999996,0.05,-3791810.0
9000,49.4,0.05,-4001950.0
9500,49.2,0.05,-4223530.0
10000,47.0,0.05,-4509450.0
