Batalhas,WinRate_Bloco,Epsilon,Reward
500,29.599999999999998,0.2852429193614689,-840980.0
1000,36.8,0.20590973781470145,-1458680.0
1500,41.0,0.14989795041146173,-1945120.0
2000,42.8,0.10796546964933948,-2364080.0
2500,43.4,0.07927861039779657,-2775120.0
3000,39.800000000000004,0.058197667164453286,-3272600.0
3500,46.2,0.05,-3583380.0
4000,40.0,0.05,-4088900.0
4500,44.0,0.05,-4487900.0
5000,45.6,0.05,-4824760.0
5500,49.2,0.05,-5046320.0
6000,43.2,0.05,-5449840.0
6500,44.6,0.05,-5814980.0
7000,47.4,0.05,-6101700.0
7500,46.6,0.05,-6417480.0
8000,44.0,0.05,-6793300.0
8500,44.2,0.05,-7155540.0
9000,45.6,0.05,-7485740.0
9500,50.8,0.05,-7650220.0
10000,44.6,0.05,-8020360.0
