Batalhas,WinRate_Bloco,Epsilon,Reward
500,46.400000000000006,0.30003576117521263,-316620.0
1000,48.4,0.22184049930056873,-576070.0
1500,53.0,0.1648499527327578,-691890.0
2000,48.199999999999996,0.12214790967041839,-937340.0
2500,48.4,0.09137845992868238,-1173680.0
3000,49.0,0.068673742853134,-1389920.0
3500,47.0,0.050819691896492845,-1682190.0
4000,46.2,0.05,-2000730.0
4500,45.2,0.05,-2344130.0
5000,48.199999999999996,0.05,-2601080.0
5500,51.2,0.05,-2760230.0
6000,48.4,0.05,-2997860.0
6500,51.2,0.05,-3155270.0
7000,47.0,0.05,-3438920.0
7500,49.8,0.05,-3639050.0
8000,49.8,0.05,-3838930.0
8500,50.6,0.05,-4015180.0
9000,50.8,0.05,-4190360.0
9500,52.6,0.05,-4301140.0
10000,51.800000000000004,0.05,-4435040.0
