Batalhas,WinRate_Bloco,Epsilon,Reward
500,48.4,0.2981514588215236,-260560.0
1000,48.4,0.2211007806535075,-519090.0
1500,44.0,0.16470824130093847,-898640.0
2000,48.0,0.12338539944514071,-1154190.0
2500,46.400000000000006,0.09170985272663243,-1464710.0
3000,48.4,0.06697146780734956,-1721110.0
3500,49.4,0.05,-1940450.0
4000,50.6,0.05,-2126920.0
4500,42.8,0.05,-2531880.0
5000,44.6,0.05,-2875910.0
5500,52.400000000000006,0.05,-2998490.0
6000,50.4,0.05,-3197460.0
6500,54.2,0.05,-3269490.0
7000,45.6,0.05,-3600510.0
7500,45.800000000000004,0.05,-3910900.0
8000,48.4,0.05,-4156210.0
8500,47.599999999999994,0.05,-4419620.0
9000,46.800000000000004,0.05,-4714960.0
9500,46.0,0.05,-5016150.0
10000,44.6,0.05,-5367340.0
