Batalhas,WinRate_Bloco,Epsilon,Avg_Reward_Bloco
200,8.0,0.04996170339735633,-800.0
400,9.0,0.04996170339735633,-775.0
600,5.5,0.04996170339735633,-862.5
800,9.0,0.04996170339735633,-775.0
1000,10.0,0.04996170339735633,-750.0
1200,9.0,0.04996170339735633,-775.0
1400,6.5,0.04996170339735633,-837.5
1600,9.0,0.04996170339735633,-775.0
1800,8.5,0.04996170339735633,-787.5
2000,12.0,0.04996170339735633,-700.0
2200,6.5,0.04996170339735633,-837.5
2400,7.000000000000001,0.04996170339735633,-825.0
2600,9.5,0.04996170339735633,-762.5
2800,7.5,0.04996170339735633,-812.5
3000,11.0,0.04996170339735633,-725.0
3200,10.5,0.04996170339735633,-737.5
3400,8.5,0.04996170339735633,-787.5
3600,7.5,0.04996170339735633,-812.5
3800,11.5,0.04996170339735633,-712.5
4000,11.5,0.04996170339735633,-712.5
4200,8.5,0.04996170339735633,-787.5
4400,10.0,0.04996170339735633,-750.0
4600,12.0,0.04996170339735633,-700.0
4800,9.0,0.04996170339735633,-775.0
5000,10.0,0.04996170339735633,-750.0
5200,10.0,0.04996170339735633,-750.0
5400,9.0,0.04996170339735633,-775.0
5600,10.5,0.04996170339735633,-737.5
5800,7.000000000000001,0.04996170339735633,-825.0
6000,8.0,0.04996170339735633,-800.0
6200,8.5,0.04996170339735633,-787.5
6400,9.0,0.04996170339735633,-775.0
6600,7.000000000000001,0.04996170339735633,-825.0
6800,11.0,0.04996170339735633,-725.0
7000,7.5,0.04996170339735633,-812.5
7200,11.0,0.04996170339735633,-725.0
7400,10.5,0.04996170339735633,-737.5
7600,8.5,0.04996170339735633,-787.5
7800,8.0,0.04996170339735633,-800.0
8000,9.0,0.04996170339735633,-775.0
8200,8.0,0.04996170339735633,-800.0
8400,7.5,0.04996170339735633,-812.5
8600,11.5,0.04996170339735633,-712.5
8800,8.5,0.04996170339735633,-787.5
9000,10.0,0.04996170339735633,-750.0
9200,11.0,0.04996170339735633,-725.0
9400,9.0,0.04996170339735633,-775.0
9600,7.000000000000001,0.04996170339735633,-825.0
9800,6.5,0.04996170339735633,-837.5
10000,8.5,0.04996170339735633,-787.5
