Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,51.2,0.092,36902,0
1000,56.6,0.085,147444,0
1500,53.4,0.077,219124,0
2000,55.0,0.070,308146,0
2500,54.0,0.062,384264,0
3000,54.6,0.055,472609,0
3500,52.6,0.050,529499,0
4000,55.8,0.050,633943,0
4500,53.0,0.050,703349,0
5000,46.4,0.050,676383,0
5500,56.4,0.050,780745,0
6000,53.0,0.050,838694,0
6500,54.6,0.050,924365,0
7000,55.4,0.050,1018049,0
7500,51.8,0.050,1065921,0
8000,54.0,0.050,1145168,0
8500,57.0,0.050,1265322,0
9000,51.4,0.050,1312151,0
9500,56.4,0.050,1421683,0
10000,52.6,0.050,1485147,0
