Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,53.0,0.050,60607,0
1000,53.2,0.050,127464,0
1500,57.4,0.050,242740,0
2000,56.6,0.050,353491,0
2500,58.4,0.050,485392,0
3000,53.8,0.050,556477,0
3500,51.8,0.050,605768,0
4000,54.4,0.050,691113,0
4500,49.6,0.050,698929,0
