Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,62.6,0.393,183755,0
1000,59.6,0.385,332317,0
1500,54.6,0.378,410382,0
2000,53.8,0.370,477170,0
2500,55.8,0.362,567417,0
3000,55.2,0.355,649988,0
3500,53.6,0.347,713556,0
4000,55.8,0.340,807917,0
4500,55.6,0.332,900202,0
5000,54.0,0.325,974127,0
5500,54.0,0.317,1043192,0
6000,49.6,0.310,1054021,0
6500,55.0,0.302,1140967,0
7000,56.8,0.295,1249896,0
7500,52.6,0.287,1307626,0
8000,55.2,0.280,1400564,0
8500,55.8,0.272,1492826,0
9000,53.8,0.265,1558397,0
9500,57.0,0.257,1665851,0
10000,58.6,0.250,1799436,0
