Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,70.40,704,296,349206,0.0500,17.35,47.31,183,0,0.56,3.51,51.4,4,132177,193
2000,71.70,717,283,350220,0.0500,17.46,47.37,230,0,0.59,3.58,51.3,8,132576,397
3000,73.10,731,269,351191,0.0500,17.58,47.42,303,0,0.63,3.75,52.6,9,132957,620
4000,72.40,724,276,352031,0.0500,17.70,47.48,271,0,0.65,3.62,52.1,7,133287,865
5000,73.60,736,264,352973,0.0500,17.82,47.53,294,0,0.58,3.68,55.0,5,133656,1066
6000,72.60,726,274,353947,0.0500,17.94,47.58,253,0,0.59,3.57,53.0,7,134039,1266
7000,73.50,735,265,354901,0.0500,18.06,47.64,272,1,0.56,3.61,56.0,11,134414,1485
8000,72.50,725,275,355815,0.0500,18.17,47.68,252,0,1.53,3.63,48.1,5,134773,1701
9000,74.70,747,253,356736,0.0500,18.26,47.73,320,0,0.60,3.64,46.2,2,135135,1974
10000,72.70,727,273,357698,0.0500,18.38,47.77,263,1,0.60,3.56,53.3,8,135512,2314
