Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,67.10,671,329,225141,0.2770,8.41,40.27,78,0,0.38,3.45,40.3,1,83455,92
2000,67.70,677,323,227516,0.2740,8.53,40.45,77,0,0.37,3.40,40.9,0,84387,184
3000,68.20,682,318,230089,0.2710,8.64,40.59,90,0,0.37,3.35,42.7,2,85397,281
4000,69.00,690,310,232547,0.2680,8.75,40.75,132,0,0.37,3.47,42.5,2,86362,376
5000,71.90,719,281,234987,0.2650,8.87,40.91,207,0,0.37,3.49,42.4,0,87320,474
6000,69.30,693,307,237328,0.2620,8.98,41.05,124,0,0.37,3.49,42.1,0,88239,574
7000,69.90,699,301,239632,0.2590,9.11,41.21,138,0,0.37,3.39,45.5,4,89144,676
8000,71.10,711,289,241873,0.2560,9.23,41.36,182,0,0.36,3.44,45.3,3,90024,777
9000,67.30,673,327,244122,0.2530,9.34,41.48,71,0,0.37,3.44,40.5,0,90907,880
10000,69.30,693,307,246464,0.2500,9.44,41.61,123,0,0.37,3.45,42.9,2,91826,1000
