Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,41.6,0.214,-175194,0,10.27,35.9,312117
1000,44.4,0.212,-271579,0,10.28,35.9,313353
1500,43.4,0.209,-411657,0,10.30,36.0,314659
2000,49.2,0.207,-451656,0,10.31,36.0,315871
2500,43.2,0.204,-606908,0,10.32,36.0,317125
3000,45.4,0.202,-699883,0,10.34,36.1,318267
3500,44.2,0.199,-797900,0,10.35,36.1,319449
4000,48.0,0.197,-841567,0,10.37,36.1,320697
4500,49.4,0.195,-869050,0,10.38,36.1,321995
5000,45.8,0.192,-954096,0,10.39,36.2,323183
5500,46.4,0.190,-1016200,0,10.40,36.2,324437
6000,46.0,0.187,-1132022,0,10.42,36.2,325680
6500,46.4,0.185,-1210618,0,10.43,36.3,326875
7000,47.0,0.182,-1275205,0,10.45,36.3,328002
7500,51.0,0.179,-1297516,0,10.47,36.3,329122
8000,47.4,0.177,-1341057,0,10.49,36.4,330380
8500,47.2,0.174,-1402936,0,10.51,36.4,331468
9000,46.6,0.171,-1505004,0,10.53,36.4,332465
9500,44.6,0.169,-1611713,0,10.54,36.5,333621
10000,45.6,0.166,-1696399,0,10.56,36.5,334703
