Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,44.8,0.341,-101047,0,10.08,34.6,215346
1000,48.0,0.340,-154520,0,10.06,34.5,217535
1500,48.0,0.338,-187341,0,10.05,34.5,219511
2000,46.0,0.337,-274446,0,10.03,34.5,221526
2500,42.4,0.336,-429777,0,10.02,34.5,223712
3000,43.6,0.334,-546582,0,10.00,34.5,225635
3500,42.6,0.332,-675768,0,9.99,34.5,227625
4000,43.2,0.331,-807324,0,9.98,34.5,229578
4500,42.2,0.329,-957483,0,9.97,34.5,231649
5000,45.6,0.328,-1048351,0,9.95,34.5,233744
5500,44.0,0.326,-1159625,0,9.95,34.6,235602
6000,45.2,0.325,-1250837,0,9.93,34.6,237559
6500,42.0,0.323,-1399473,0,9.92,34.6,239541
7000,45.0,0.322,-1497342,0,9.91,34.6,241536
7500,46.2,0.320,-1579150,0,9.91,34.6,243347
8000,43.0,0.319,-1713962,0,9.90,34.6,245222
8500,43.6,0.317,-1840752,0,9.90,34.7,247048
9000,47.8,0.315,-1889003,0,9.90,34.7,248821
9500,45.0,0.314,-2005242,0,9.90,34.7,250557
10000,43.2,0.312,-2139754,0,9.90,34.7,252330
