Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,63.6,0.050,257853,0,13.62,45.0,87283
1000,68.2,0.050,593398,0,13.73,45.1,87712
1500,60.2,0.050,786728,0,13.84,45.2,88070
2000,63.6,0.050,1041296,0,13.94,45.3,88469
2500,65.4,0.050,1321641,0,14.05,45.3,88796
3000,60.6,0.050,1516393,0,14.16,45.5,89104
3500,64.4,0.050,1771264,0,14.27,45.5,89433
4000,60.6,0.050,1960687,0,14.38,45.6,89775
4500,66.4,0.050,2261257,0,14.49,45.6,90145
5000,60.8,0.050,2449464,0,14.60,45.7,90453
5500,64.0,0.050,2710277,0,14.70,45.7,90818
6000,65.8,0.050,2998688,0,14.81,45.8,91170
6500,63.2,0.050,3239950,0,14.92,45.9,91487
7000,62.8,0.050,3474114,0,15.03,45.9,91786
7500,61.0,0.050,3667752,0,15.13,46.0,92133
8000,61.0,0.050,3869977,0,15.23,46.1,92465
8500,64.2,0.050,4127309,0,15.33,46.1,92800
9000,65.8,0.050,4414642,0,15.44,46.2,93078
9500,64.4,0.050,4683542,0,15.56,46.3,93359
10000,62.4,0.050,4913213,0,15.67,46.3,93652
