Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,49.0,0.371,-7278,0,10.90,35.4,167459
1000,49.0,0.370,-22633,0,10.83,35.3,170248
1500,46.4,0.369,-100438,0,10.76,35.2,173015
2000,46.4,0.368,-184627,0,10.71,35.1,175457
2500,42.2,0.367,-347839,0,10.65,35.1,178089
3000,47.6,0.365,-402320,0,10.60,35.0,180577
3500,46.6,0.364,-474137,0,10.55,34.9,183004
4000,45.0,0.363,-554013,0,10.49,34.9,185522
4500,42.6,0.362,-712825,0,10.45,34.8,188082
5000,44.0,0.361,-839276,0,10.40,34.7,190713
5500,44.8,0.359,-936746,0,10.36,34.7,193067
6000,46.6,0.358,-1012371,0,10.32,34.7,195447
6500,50.0,0.357,-1024688,0,10.29,34.7,197737
7000,43.6,0.355,-1153944,0,10.26,34.6,199985
7500,46.8,0.354,-1223176,0,10.23,34.6,202297
8000,46.4,0.353,-1308630,0,10.21,34.6,204423
8500,48.4,0.351,-1339181,0,10.18,34.6,206692
9000,46.2,0.350,-1417539,0,10.15,34.6,208864
9500,48.4,0.349,-1448385,0,10.13,34.6,210817
10000,46.0,0.347,-1525230,0,10.10,34.6,213198
