Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,59.0,0.050,174986,0,11.33,43.2,79343
1000,60.0,0.050,367419,0,11.45,43.3,79793
1500,62.4,0.050,595622,0,11.58,43.5,80193
2000,61.8,0.050,819789,0,11.69,43.6,80646
2500,63.4,0.050,1072315,0,11.81,43.7,81088
3000,65.0,0.050,1343978,0,11.93,43.8,81540
3500,64.8,0.050,1620123,0,12.04,43.8,81958
4000,67.0,0.050,1934988,0,12.16,43.9,82361
4500,61.0,0.050,2129942,0,12.27,44.0,82762
5000,63.2,0.050,2375020,0,12.39,44.1,83140
5500,63.4,0.050,2626888,0,12.51,44.2,83519
6000,60.8,0.050,2827973,0,12.60,44.3,84040
6500,67.0,0.050,3137791,0,12.72,44.4,84420
7000,60.6,0.050,3334169,0,12.84,44.5,84781
7500,63.2,0.050,3572936,0,12.95,44.5,85154
8000,66.4,0.050,3877397,0,13.06,44.7,85504
8500,64.8,0.050,4147673,0,13.17,44.7,85865
9000,64.8,0.050,4415420,0,13.28,44.8,86243
9500,60.6,0.050,4614949,0,13.39,44.9,86590
10000,60.2,0.050,4791162,0,13.51,45.0,86921
