Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,61.6,0.295,196698,0,6.23,36.4,49193
1000,57.8,0.289,327841,0,6.37,36.6,50425
1500,59.6,0.282,487217,0,6.51,37.0,51521
2000,60.4,0.275,662871,0,6.66,37.3,52589
2500,59.8,0.268,829317,0,6.81,37.5,53645
3000,59.4,0.261,985925,0,6.95,37.8,54698
3500,60.4,0.254,1161500,0,7.09,38.0,55898
4000,58.6,0.247,1305190,0,7.22,38.3,56916
4500,59.6,0.239,1465968,0,7.37,38.6,57818
5000,60.4,0.230,1650519,0,7.51,38.7,58716
5500,59.0,0.223,1812751,0,7.62,39.0,59716
6000,60.2,0.214,2001049,0,7.75,39.2,60606
6500,60.2,0.206,2177446,0,7.89,39.4,61471
7000,55.2,0.197,2250109,0,8.03,39.7,62359
7500,58.8,0.189,2393665,0,8.15,39.8,63308
8000,62.0,0.179,2612960,0,8.29,40.0,64065
8500,60.8,0.169,2803324,0,8.43,40.3,64787
9000,58.4,0.159,2943777,0,8.56,40.5,65549
9500,63.4,0.149,3183659,0,8.67,40.7,66304
10000,60.4,0.139,3371742,0,8.80,40.8,67033
