Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,44.6,0.263,-102211,0,10.00,35.2,285220
1000,43.2,0.261,-252962,0,10.02,35.2,286647
1500,45.4,0.259,-343270,0,10.03,35.3,288094
2000,42.8,0.257,-473843,0,10.04,35.3,289564
2500,49.2,0.255,-496621,0,10.05,35.4,291116
3000,49.0,0.253,-561144,0,10.07,35.4,292550
3500,45.8,0.250,-652486,0,10.08,35.4,293885
4000,45.0,0.248,-745796,0,10.09,35.5,295227
4500,47.2,0.246,-810838,0,10.10,35.5,296540
5000,46.8,0.243,-888916,0,10.12,35.6,297826
5500,44.6,0.241,-1041811,0,10.14,35.6,299230
6000,52.6,0.239,-993268,0,10.15,35.6,300454
6500,46.0,0.237,-1060726,0,10.16,35.6,301854
7000,47.8,0.234,-1120745,0,10.17,35.7,303205
7500,42.8,0.232,-1285338,0,10.19,35.7,304490
8000,44.8,0.230,-1380360,0,10.20,35.7,305789
8500,47.6,0.227,-1431861,0,10.21,35.8,306911
9000,47.6,0.225,-1486678,0,10.23,35.8,308266
9500,43.2,0.223,-1645895,0,10.24,35.8,309561
10000,49.4,0.220,-1685115,0,10.26,35.9,310735
