Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,48.0,0.030,-34331,0,12.56,38.9,395231
1000,52.2,0.030,-14668,0,12.59,39.0,395840
1500,53.0,0.030,36073,0,12.61,39.0,396387
2000,48.6,0.030,18307,0,12.64,39.0,396859
2500,50.0,0.030,-4833,0,12.67,39.0,397496
3000,48.4,0.030,-46238,0,12.69,39.1,397998
3500,46.2,0.030,-156453,0,12.72,39.1,398616
4000,47.6,0.030,-213248,0,12.75,39.1,399147
4500,47.2,0.030,-255036,0,12.77,39.2,399685
5000,52.8,0.030,-199781,0,12.79,39.2,400186
5500,47.2,0.030,-260844,0,12.82,39.2,400695
6000,49.8,0.030,-263816,0,12.84,39.2,401198
6500,48.2,0.030,-301400,0,12.87,39.3,401721
7000,47.8,0.030,-350984,0,12.90,39.3,402173
7500,53.4,0.030,-303706,0,12.93,39.3,402740
8000,48.2,0.030,-369681,0,12.96,39.3,403260
8500,51.8,0.030,-351479,0,12.98,39.4,403739
9000,50.6,0.030,-359578,0,13.01,39.4,404269
9500,47.8,0.030,-429613,0,13.04,39.4,404811
10000,48.6,0.030,-467463,0,13.06,39.4,405359
