Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,50.0,0.030,-4796,0,11.48,37.8,370560
1000,46.2,0.030,-61435,0,11.50,37.8,371313
1500,50.2,0.030,-53047,0,11.53,37.8,372042
2000,47.0,0.030,-102166,0,11.55,37.9,372729
2500,44.6,0.030,-220662,0,11.58,37.9,373453
3000,46.2,0.030,-317640,0,11.61,38.0,374175
3500,48.2,0.030,-362715,0,11.63,38.0,374878
4000,48.6,0.030,-402804,0,11.66,38.0,375567
4500,51.6,0.030,-369033,0,11.68,38.1,376202
5000,44.6,0.030,-504096,0,11.71,38.1,376842
5500,48.6,0.030,-559491,0,11.74,38.1,377377
6000,49.0,0.030,-579120,0,11.77,38.1,377956
6500,47.4,0.030,-655868,0,11.80,38.2,378572
7000,49.2,0.030,-677771,0,11.82,38.2,379179
7500,52.4,0.030,-653442,0,11.84,38.2,379934
8000,47.0,0.030,-736012,0,11.87,38.2,380577
8500,46.2,0.030,-821346,0,11.90,38.3,381259
9000,53.4,0.030,-795496,0,11.93,38.3,381864
9500,51.0,0.030,-757209,0,11.95,38.3,382378
10000,46.0,0.030,-844189,0,11.98,38.4,382994
