Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,52.2,0.399,48065,0,17.57,47.6,93533
1000,49.6,0.399,48613,0,16.87,46.0,98371
1500,48.4,0.398,22136,0,16.37,44.9,102311
2000,49.4,0.397,16446,0,15.92,43.9,106188
2500,47.6,0.396,-22098,0,15.52,43.0,109959
3000,51.4,0.396,11260,0,15.17,42.3,113580
3500,55.6,0.395,124406,0,14.83,41.6,117249
4000,51.0,0.394,144133,0,14.50,40.9,121024
4500,46.4,0.393,81142,0,14.21,40.4,124638
5000,53.0,0.392,142527,0,14.00,40.0,127695
5500,46.8,0.391,82667,0,13.82,39.7,130625
6000,49.8,0.390,80645,0,13.64,39.4,133525
6500,49.8,0.389,65457,0,13.48,39.1,136300
7000,51.6,0.388,101773,0,13.32,38.9,139153
7500,47.0,0.387,54388,0,13.16,38.6,142156
8000,49.0,0.386,47239,0,13.02,38.3,144983
8500,49.6,0.385,46506,0,12.92,38.2,147432
9000,49.6,0.384,33964,0,12.82,38.0,149926
9500,49.4,0.382,22151,0,12.71,37.9,152507
10000,52.2,0.381,66007,0,12.62,37.7,155031
