Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,51.2,0.030,47439,0,14.48,41.1,348276
1000,52.8,0.030,122764,0,14.50,41.1,348801
1500,52.2,0.030,201580,0,14.54,41.1,349329
2000,49.8,0.030,220109,0,14.57,41.1,349853
2500,51.6,0.030,285187,0,14.60,41.2,350316
3000,50.6,0.030,323008,0,14.63,41.2,350781
3500,49.6,0.030,344742,0,14.66,41.2,351274
4000,48.2,0.030,346470,0,14.69,41.2,351749
4500,50.0,0.030,382037,0,14.72,41.3,352250
5000,50.6,0.030,415129,0,14.74,41.3,352709
5500,46.4,0.030,370031,0,14.77,41.3,353201
6000,53.6,0.030,464707,0,14.80,41.4,353688
6500,45.8,0.030,424156,0,14.82,41.4,354170
7000,46.4,0.030,381557,0,14.85,41.4,354676
7500,46.4,0.030,349333,0,14.88,41.4,355089
8000,50.6,0.030,387865,0,14.91,41.4,355603
