Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,48.4,0.148,-21681,0,12.31,38.6,296494
1000,45.2,0.145,-98753,0,12.33,38.7,297461
1500,44.8,0.142,-167361,0,12.35,38.7,298320
2000,48.8,0.138,-187365,0,12.37,38.8,299150
2500,49.2,0.135,-188281,0,12.40,38.8,299990
3000,48.0,0.132,-210854,0,12.42,38.8,300965
3500,50.8,0.128,-184712,0,12.44,38.8,301852
4000,53.6,0.125,-112715,0,12.46,38.9,302696
4500,51.6,0.121,-74270,0,12.49,38.9,303578
5000,48.0,0.118,-98377,0,12.52,38.9,304383
5500,47.0,0.114,-137341,0,12.54,39.0,305193
6000,49.2,0.110,-139433,0,12.56,39.0,305986
6500,47.4,0.106,-175000,0,12.58,39.0,306744
7000,51.4,0.103,-130920,0,12.60,39.1,307585
7500,50.4,0.098,-111307,0,12.63,39.1,308265
8000,54.0,0.094,-15174,0,12.65,39.2,309066
8500,48.8,0.091,-28587,0,12.68,39.2,309849
9000,50.8,0.086,985,0,12.71,39.2,310590
9500,53.4,0.082,78489,0,12.73,39.2,311344
10000,50.6,0.078,111865,0,12.77,39.3,312033
