Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,50.40,504,496,290033,0.2470,7.25,37.99,-462,15,0.53,2.87,40.9,1,108751,132
2000,49.40,494,506,292771,0.2440,7.33,38.12,-448,18,0.41,2.95,38.0,1,109825,241
3000,50.60,506,494,295427,0.2410,7.40,38.25,-460,20,0.44,2.87,38.3,1,110868,357
4000,51.30,513,487,298290,0.2380,7.49,38.37,-451,20,0.60,2.90,41.5,3,111991,479
5000,53.00,530,470,300844,0.2350,7.57,38.48,-420,13,0.39,2.88,39.9,2,112993,587
6000,53.90,539,461,303374,0.2320,7.65,38.60,-389,15,0.38,2.96,38.9,1,113985,704
7000,52.20,522,478,305988,0.2290,7.73,38.68,-424,15,0.50,2.97,38.8,0,115011,857
8000,51.30,513,487,308642,0.2260,7.80,38.78,-446,17,0.53,2.87,40.1,1,116053,1050
9000,53.70,537,463,311177,0.2230,7.88,38.89,-409,17,0.50,2.92,38.5,0,117048,1246
10000,53.60,536,464,313529,0.2200,7.95,38.99,-400,16,0.52,2.95,37.4,0,117971,1470
