Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,47.30,473,527,179609,0.3370,4.57,32.07,-483,12,0.39,2.77,35.7,0,65426,104
2000,50.70,507,493,184698,0.3340,4.66,32.35,-455,15,0.38,2.85,35.8,1,67423,199
3000,49.00,490,510,189457,0.3310,4.77,32.64,-471,17,0.39,2.76,36.5,2,69290,303
4000,51.50,515,485,194204,0.3280,4.85,32.95,-439,16,0.39,2.82,35.2,0,71152,401
5000,54.00,540,460,198815,0.3250,4.95,33.21,-414,11,0.39,2.85,36.3,0,72961,505
6000,52.30,523,477,203147,0.3220,5.03,33.44,-441,10,0.40,2.87,34.2,0,74660,617
7000,54.40,544,456,207531,0.3190,5.12,33.69,-412,11,0.41,2.89,35.8,0,76379,733
8000,50.70,507,493,211447,0.3160,5.22,33.93,-452,17,0.40,2.82,36.2,2,77916,858
9000,52.30,523,477,215726,0.3130,5.31,34.18,-440,19,0.42,2.88,37.4,1,79595,1023
10000,49.30,493,507,219886,0.3100,5.40,34.41,-468,18,0.42,2.84,35.8,0,81227,1206
