Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,55.50,555,445,394045,0.0889,11.02,42.25,-405,12,0.34,2.97,39.5,0,149575,89
2000,54.10,541,459,395628,0.0851,11.10,42.33,-416,12,0.33,2.99,43.3,3,150196,185
3000,54.40,544,456,397301,0.0815,11.16,42.37,-432,17,0.34,2.91,40.2,1,150853,276
4000,54.60,546,454,398946,0.0779,11.23,42.42,-425,12,0.33,3.01,41.7,2,151499,369
5000,55.00,550,450,400532,0.0741,11.30,42.50,-395,11,0.32,3.04,42.2,2,152121,466
6000,55.30,553,447,402190,0.0705,11.36,42.57,-390,14,0.33,2.96,39.8,1,152772,553
7000,51.50,515,485,403759,0.0667,11.43,42.63,-456,17,0.33,2.91,40.6,1,153387,645
8000,54.50,545,455,405162,0.0624,11.50,42.69,-415,20,0.34,2.97,40.1,0,153938,740
9000,54.70,547,453,406683,0.0584,11.58,42.73,-432,18,0.33,2.93,43.5,3,154535,858
10000,53.80,538,462,408185,0.0545,11.65,42.80,-425,13,0.34,2.90,42.7,1,155125,996
