Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,51.20,512,488,259520,0.3486,6.57,36.86,-390,13,0.43,2.90,36.4,1,96812,106
2000,49.20,492,508,262746,0.3467,6.65,37.03,-411,16,0.39,2.84,35.6,1,98078,205
3000,50.70,507,493,265873,0.3448,6.72,37.23,-395,19,0.44,2.82,36.4,1,99304,320
4000,52.60,526,474,269078,0.3430,6.79,37.36,-384,18,0.51,2.85,35.3,0,100562,446
5000,50.20,502,498,272279,0.3411,6.87,37.51,-415,14,0.50,2.75,39.1,2,101817,579
6000,49.10,491,509,275491,0.3392,6.94,37.65,-416,17,0.51,2.76,37.3,1,103077,707
7000,50.20,502,498,278573,0.3373,7.01,37.78,-400,19,0.52,2.85,36.6,0,104287,849
8000,47.50,475,525,281636,0.3353,7.09,37.93,-433,17,0.53,2.87,37.2,2,105489,1038
9000,51.50,515,485,284717,0.3334,7.16,38.07,-397,17,0.41,2.83,37.3,0,106698,1210
10000,49.30,493,507,287479,0.3312,7.24,38.19,-396,14,0.39,2.89,37.8,2,107782,1312
