Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,50.4,0.030,-45677,0,12.42,39.3
1000,46.0,0.030,-133053,0,12.44,39.3
1500,47.4,0.030,-192853,0,12.47,39.3
2000,51.2,0.030,-196357,0,12.50,39.3
2500,48.0,0.030,-278617,0,12.53,39.4
3000,48.8,0.030,-334000,0,12.56,39.4
3500,46.0,0.030,-459311,0,12.59,39.4
4000,49.8,0.030,-502833,0,12.62,39.4
4500,48.6,0.030,-591547,0,12.65,39.5
5000,50.4,0.030,-607134,0,12.68,39.5
5500,46.8,0.030,-715836,0,12.71,39.5
6000,50.2,0.030,-741158,0,12.74,39.5
6500,53.6,0.030,-705508,0,12.77,39.6
7000,49.6,0.030,-778748,0,12.80,39.6
7500,56.0,0.030,-723185,0,12.82,39.6
8000,46.2,0.030,-812211,0,12.85,39.6
8500,46.2,0.030,-914545,0,12.88,39.7
9000,46.8,0.030,-992919,0,12.91,39.7
9500,47.4,0.030,-1072908,0,12.94,39.7
10000,43.8,0.030,-1276585,0,12.97,39.8
