Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,44.0,0.217,-137682,0,8.93,34.4
1000,43.4,0.214,-327643,0,8.95,34.4
1500,45.6,0.211,-448967,0,8.97,34.5
2000,49.4,0.208,-498050,0,8.98,34.5
2500,44.8,0.205,-620762,0,8.99,34.5
3000,43.4,0.202,-772990,0,9.00,34.6
3500,51.2,0.199,-772044,0,9.01,34.6
4000,44.6,0.196,-916621,0,9.03,34.6
4500,44.2,0.193,-1050344,0,9.04,34.7
5000,50.6,0.190,-1067657,0,9.05,34.7
5500,47.4,0.187,-1148406,0,9.07,34.8
6000,44.2,0.184,-1283150,0,9.08,34.8
6500,47.0,0.181,-1378640,0,9.10,34.9
7000,43.0,0.178,-1533237,0,9.10,34.9
7500,46.0,0.175,-1653786,0,9.12,34.9
8000,44.2,0.172,-1822194,0,9.14,35.0
8500,43.0,0.169,-1964751,0,9.15,35.0
9000,47.0,0.166,-2054403,0,9.17,35.1
9500,51.0,0.163,-2068082,0,9.19,35.1
10000,45.2,0.160,-2195157,0,9.21,35.2
