Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,41.8,0.157,-198510,0,9.23,35.2
1000,50.4,0.154,-204780,0,9.25,35.3
1500,52.4,0.151,-189026,0,9.27,35.3
2000,48.0,0.148,-269779,0,9.29,35.3
2500,43.4,0.145,-414549,0,9.31,35.4
3000,42.2,0.142,-598438,0,9.33,35.4
3500,46.0,0.139,-710447,0,9.35,35.4
4000,45.4,0.136,-833746,0,9.36,35.5
4500,44.0,0.133,-978591,0,9.38,35.5
5000,47.0,0.130,-1059441,0,9.40,35.5
5500,45.4,0.127,-1193605,0,9.42,35.6
6000,45.0,0.124,-1318429,0,9.44,35.6
6500,50.6,0.121,-1347480,0,9.46,35.6
7000,49.0,0.118,-1388118,0,9.48,35.7
7500,47.2,0.115,-1452074,0,9.50,35.7
8000,48.6,0.112,-1511422,0,9.52,35.8
8500,48.2,0.109,-1566030,0,9.54,35.8
9000,51.4,0.106,-1560991,0,9.56,35.8
9500,46.2,0.103,-1650476,0,9.58,35.8
10000,46.4,0.100,-1741403,0,9.60,35.9
