Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,48.8,0.277,-43003,0,8.85,33.8
1000,49.6,0.274,-94081,0,8.85,33.8
1500,47.0,0.271,-180055,0,8.85,33.8
2000,44.2,0.268,-318562,0,8.85,33.9
2500,49.4,0.265,-357148,0,8.84,33.9
3000,44.6,0.262,-475556,0,8.84,33.9
3500,45.2,0.259,-582996,0,8.84,33.9
4000,46.4,0.256,-684835,0,8.84,33.9
4500,45.6,0.253,-798847,0,8.84,34.0
5000,48.6,0.250,-857481,0,8.85,34.0
5500,48.2,0.247,-919089,0,8.85,34.0
6000,47.4,0.244,-1026227,0,8.87,34.1
6500,50.2,0.241,-1051239,0,8.87,34.1
7000,44.2,0.238,-1187645,0,8.87,34.2
7500,45.6,0.235,-1296828,0,8.88,34.2
8000,51.0,0.232,-1304102,0,8.88,34.2
8500,51.2,0.229,-1304783,0,8.89,34.3
9000,48.8,0.226,-1368065,0,8.90,34.3
9500,41.8,0.223,-1556606,0,8.91,34.3
10000,45.8,0.220,-1670850,0,8.92,34.4
